Price,Close,High,Low,Open,Volume
Ticker,MU,MU,MU,MU,MU
Date,,,,,
2025-12-08,246.82028198242188,249.12934667146627,241.5124288135532,243.3916744750837,20495400
2025-12-09,252.3180694580078,255.40681803682304,242.73194561822234,244.39127896088533,17067100
2025-12-10,263.6034851074219,264.6430736170199,250.47879838160074,255.02696379268292,21960700
2025-12-11,258.3556213378906,262.7438632309367,251.44842329409698,261.42438894596455,18867000
2025-12-12,241.04261779785156,255.71669738148933,239.22336071510762,255.5667488056733,25936900
2025-12-15,237.4040985107422,250.00900725651238,235.90470420435855,247.0102186437451,27483600
2025-12-16,232.41610717773438,239.30332439175388,230.48689383128,235.70478722013033,22577300
2025-12-17,225.42893981933594,237.35411519182603,221.60048453411136,236.46447518186082,41957100
2025-12-18,248.4496307373047,263.5435237304493,244.9010612885171,256.4264038913951,65006100
2025-12-19,265.8126220703125,268.2716200619119,251.6483311790547,251.6483311790547,62312100
2025-12-22,276.4783020019531,279.8769228912229,268.181665962978,277.03807341876205,30961900
2025-12-23,276.1584167480469,281.7461555531578,272.2100302677145,275.80858250054854,20767600
2025-12-24,286.5642395019531,289.1831767401188,277.13805438724796,277.8877515587193,18592600
2025-12-26,284.6750183105469,290.75254995440923,283.30557635904245,290.7225632877798,17878500
2025-12-29,294.3699951171875,294.5,278.5,280.3299865722656,26642900
2025-12-30,292.6300048828125,298.8299865722656,292.010009765625,294.70001220703125,23056400
2025-12-31,285.4100036621094,293.1700134277344,284.17999267578125,293.1700134277344,17573800
2026-01-02,315.4200134277344,315.6000061035156,294.8599853515625,295.1300048828125,42604300
2026-01-05,312.1499938964844,325.5299987792969,309.54998779296875,325.1300048828125,34608600
2026-01-06,343.42999267578125,344.54998779296875,318.05999755859375,318.2799987792969,48732400
2026-01-07,339.54998779296875,346.29998779296875,337.17999267578125,340.7099914550781,32781100
2026-01-08,327.0199890136719,343.6600036621094,321.3599853515625,342.8999938964844,33897700
2026-01-09,345.0899963378906,345.79998779296875,326.19000244140625,332.75,33387500
2026-01-12,345.8699951171875,348.4700012207031,339.32000732421875,340.54998779296875,23152600
2026-01-13,338.1300048828125,351.2300109863281,335.2200012207031,346.2699890136719,23881300
2026-01-14,333.3500061035156,339.1000061035156,328.20001220703125,334.8399963378906,20277200
2026-01-15,336.6300048828125,347.7699890136719,336.2699890136719,345.3299865722656,25370200
2026-01-16,362.75,365.80999755859375,352.0400085449219,353.1000061035156,47901900
2026-01-20,365.0,381.55999755859375,361.3500061035156,364.67999267578125,49744900
2026-01-21,389.1099853515625,394.20001220703125,366.7300109863281,372.8500061035156,56712800
2026-01-22,397.5799865722656,397.7799987792969,376.9200134277344,396.6400146484375,39607600
2026-01-23,399.6499938964844,412.42999267578125,390.739990234375,397.1600036621094,35404200
2026-01-26,389.0899963378906,398.0,384.29998779296875,395.5,29193900
2026-01-27,410.239990234375,416.45001220703125,399.6000061035156,404.6099853515625,36212100
2026-01-28,435.2799987792969,438.94000244140625,417.0,422.44000244140625,42725700
2026-01-29,435.7900085449219,444.7099914550781,417.70001220703125,439.3699951171875,42675700
2026-01-30,414.8800048828125,455.5,407.1300048828125,446.4700012207031,51022900
2026-02-02,437.79998779296875,442.42999267578125,410.0,412.17999267578125,37771200
2026-02-03,419.44000244140625,442.29998779296875,407.5299987792969,442.1600036621094,42763300
2026-02-04,379.3999938964844,413.0,363.8999938964844,410.5899963378906,58074900
2026-02-05,382.8900146484375,390.92999267578125,366.0,369.6199951171875,38899500
2026-02-06,394.69000244140625,396.6499938964844,372.8699951171875,377.9700012207031,37196000
2026-02-09,383.5,391.80999755859375,370.67999267578125,380.69000244140625,31009600
2026-02-10,373.25,382.7900085449219,366.05999755859375,375.989990234375,35433800
2026-02-11,410.3399963378906,414.1600036621094,386.57000732421875,395.3900146484375,48475000
2026-02-12,413.9700012207031,438.7699890136719,411.1600036621094,422.25,45639100
2026-02-13,411.6600036621094,420.8800048828125,392.7099914550781,405.19000244140625,33807600
2026-02-17,399.7799987792969,413.6600036621094,395.29998779296875,400.95001220703125,28549500
2026-02-18,420.95001220703125,427.8500061035156,394.6000061035156,399.5,32306600
2026-02-19,417.3500061035156,420.32000732421875,407.739990234375,415.80999755859375,21651300
2026-02-20,428.1700134277344,430.57000732421875,415.1499938964844,415.17999267578125,29894900
2026-02-23,420.9700012207031,431.70001220703125,415.29998779296875,422.30999755859375,25426600
2026-02-24,418.010009765625,436.2699890136719,411.2799987792969,429.2200012207031,33389200
2026-02-25,429.0,436.8900146484375,423.0,426.5,27296300
2026-02-26,415.55999755859375,434.0,401.9599914550781,424.8399963378906,35433500
2026-02-27,412.3699951171875,417.9599914550781,401.17999267578125,401.80999755859375,28653900
2026-03-02,412.6700134277344,417.6099853515625,397.0,401.4700012207031,30049200
2026-03-03,379.67999267578125,390.0899963378906,374.54998779296875,386.54998779296875,39010900
2026-03-04,400.7699890136719,407.8800048828125,387.6099853515625,393.6400146484375,32644900
2026-03-05,397.04998779296875,404.5299987792969,380.29998779296875,398.6000061035156,29960100
2026-03-06,370.29998779296875,391.17999267578125,367.45001220703125,380.1400146484375,34289500
