Price,Close,High,Low,Open,Volume
Ticker,TSM,TSM,TSM,TSM,TSM
Date,,,,,
2025-12-08,301.0572509765625,301.80523170298335,295.9211227422218,300.3890719047915,16643100
2025-12-09,302.5931091308594,303.8596788535801,297.69632505640885,299.1823036733046,11349100
2025-12-10,309.3050231933594,313.134681090616,301.6855777931543,304.5478460086659,12429200
2025-12-11,304.8500061035156,305.8399963378906,299.6400146484375,305.32000732421875,15028400
2025-12-12,292.0400085449219,304.2799987792969,290.9800109863281,304.2799987792969,19306100
2025-12-15,287.739990234375,295.79998779296875,287.54998779296875,295.1499938964844,12082400
2025-12-16,286.8699951171875,288.4599914550781,283.32000732421875,287.260009765625,11418400
2025-12-17,276.9599914550781,289.1000061035156,275.0799865722656,288.5299987792969,16823000
2025-12-18,284.67999267578125,287.1600036621094,281.75,285.0,11260300
2025-12-19,288.95001220703125,292.1700134277344,286.3800048828125,286.3800048828125,12735800
2025-12-22,293.2799987792969,295.010009765625,291.2099914550781,294.6700134277344,6091100
2025-12-23,296.95001220703125,297.9100036621094,292.20001220703125,293.3999938964844,6802300
2025-12-24,298.79998779296875,299.1600036621094,296.2300109863281,297.739990234375,2753900
2025-12-26,302.8399963378906,303.3800048828125,298.5199890136719,299.8999938964844,5125900
2025-12-29,300.9200134277344,304.5,298.6499938964844,301.7799987792969,6205100
2025-12-30,299.5799865722656,304.54998779296875,299.45001220703125,302.3599853515625,6190600
2025-12-31,303.8900146484375,307.3900146484375,303.42999267578125,304.0,8175100
2026-01-02,319.6099853515625,321.5899963378906,311.70001220703125,311.9800109863281,18526900
2026-01-05,322.25,331.25,321.5,330.3999938964844,17446300
2026-01-06,327.42999267578125,333.0799865722656,324.5899963378906,330.2200012207031,15599600
2026-01-07,318.67999267578125,326.29998779296875,318.5400085449219,324.6700134277344,11744800
2026-01-08,318.010009765625,324.5,316.1400146484375,324.3900146484375,10850800
2026-01-09,323.6300048828125,324.7699890136719,318.25,319.8299865722656,12325100
2026-01-12,331.7699890136719,333.54998779296875,321.05999755859375,322.1000061035156,12714800
2026-01-13,331.2099914550781,336.4200134277344,330.7799987792969,332.8699951171875,11473600
2026-01-14,327.1099853515625,329.8599853515625,324.82000732421875,329.8599853515625,11210800
2026-01-15,341.6400146484375,351.3299865722656,337.9200134277344,342.80999755859375,42188500
2026-01-16,342.3999938964844,349.8500061035156,341.4599914550781,346.510009765625,18246100
2026-01-20,327.1600036621094,342.1499938964844,326.8999938964844,340.7900085449219,22809900
2026-01-21,326.1199951171875,333.6400146484375,325.67999267578125,333.42999267578125,16789800
2026-01-22,327.3699951171875,335.04998779296875,326.8999938964844,333.4200134277344,12801000
2026-01-23,334.8699951171875,337.1499938964844,331.3699951171875,332.07000732421875,12904400
2026-01-26,332.7099914550781,335.1000061035156,330.2300109863281,332.7900085449219,8646400
2026-01-27,338.3399963378906,341.25,334.55999755859375,336.5,11298100
2026-01-28,342.29998779296875,345.5,338.6600036621094,343.0299987792969,12140100
2026-01-29,339.54998779296875,343.739990234375,328.20001220703125,339.79998779296875,13844800
2026-01-30,330.55999755859375,339.8999938964844,329.1000061035156,335.4200134277344,12028100
2026-02-02,341.3599853515625,344.20001220703125,329.1000061035156,330.760009765625,12459100
2026-02-03,335.75,347.04998779296875,330.0199890136719,345.07000732421875,12540000
2026-02-04,325.739990234375,338.79998779296875,319.07000732421875,335.6000061035156,18176000
2026-02-05,330.7300109863281,334.57000732421875,319.6499938964844,322.82000732421875,14812000
2026-02-06,348.8500061035156,349.7200012207031,336.6499938964844,337.5,17025500
2026-02-09,355.4100036621094,359.6000061035156,347.79998779296875,348.760009765625,14594900
2026-02-10,361.9100036621094,364.760009765625,356.3900146484375,364.3299865722656,14622100
2026-02-11,374.0899963378906,379.5799865722656,368.3900146484375,370.0799865722656,18651300
2026-02-12,368.1000061035156,380.0,322.1000061035156,379.0,16835400
2026-02-13,366.3599853515625,371.1099853515625,360.7699890136719,369.1499938964844,10468200
2026-02-17,364.20001220703125,366.20001220703125,356.239990234375,361.8699951171875,10063800
2026-02-18,362.260009765625,369.3900146484375,360.7099914550781,363.8599853515625,7310500
2026-02-19,360.3900146484375,362.79998779296875,357.44000244140625,359.7200012207031,6346500
2026-02-20,370.5400085449219,372.20001220703125,359.1000061035156,359.7799987792969,9009200
2026-02-23,370.0400085449219,373.42999267578125,366.4599914550781,367.010009765625,9550200
2026-02-24,385.75,389.17999267578125,376.04998779296875,379.3999938964844,13269500
2026-02-25,387.7300109863281,390.2099914550781,384.8299865722656,390.2099914550781,10948400
2026-02-26,376.80999755859375,386.4700012207031,369.70001220703125,386.17999267578125,14535700
2026-02-27,374.5799865722656,376.67999267578125,368.6199951171875,370.1400146484375,9186600
2026-03-02,369.1099853515625,373.1000061035156,364.6499938964844,365.3599853515625,12571600
2026-03-03,353.1300048828125,355.9800109863281,344.1400146484375,349.54998779296875,18580200
2026-03-04,357.44000244140625,361.0899963378906,354.54998779296875,357.42999267578125,12131100
2026-03-05,353.8599853515625,359.4700012207031,343.79998779296875,354.8999938964844,16249800
2026-03-06,338.8900146484375,348.7200012207031,336.69000244140625,343.5,13758500
