Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2025-12-08,489.9018249511719,491.17890888246444,483.2769615726175,483.7858099301447,21965900
2025-12-09,490.8995361328125,490.99931449735556,487.3875630167038,487.9862027558801,14696100
2025-12-10,477.4701843261719,483.14722906115725,473.99809828560024,482.92772884397027,35756200
2025-12-11,482.3690185546875,484.92318635563356,474.7763326037194,475.5445986070271,24669200
2025-12-12,477.4402770996094,481.3513637649093,475.2552617920193,478.72734800157895,21248100
2025-12-15,473.73870849609375,479.6252664455081,471.44392797474177,479.0066832317436,23727700
2025-12-16,475.3051452636719,476.80172935648005,469.8076832860371,470.8353364785088,20705600
2025-12-17,475.0357360839844,478.9069051052783,473.9182915104317,475.8239455574328,24527200
2025-12-18,482.87786865234375,488.4850656489584,476.8017407441929,477.10104539067044,28573500
2025-12-19,484.8134460449219,486.73904362092316,481.39123391446003,486.2501387748106,70836100
2025-12-22,483.81573486328125,487.6170561484318,481.5908021440126,485.01298390813173,16963000
2025-12-23,485.7413330078125,486.71908182827985,483.63612214595605,483.8755963136496,14683600
2025-12-24,486.90863037109375,488.04604888584674,483.7258924615979,484.5739628623746,5855900
2025-12-26,486.599365234375,487.00843522519267,484.85335038112265,485.601642461088,8842200
2025-12-29,485.9907531738281,487.23790659993216,483.0773893732932,483.7558335295542,10893400
2025-12-30,486.3699035644531,488.56487537463653,484.39440153201394,484.82341501264875,13944500
2025-12-31,482.5186767578125,487.0284031238816,482.1993981667827,486.7290680267604,15601600
2026-01-02,471.8630065917969,483.5563186075122,469.0893385249197,483.2869444224563,25571600
2026-01-05,471.773193359375,474.9858617296903,468.4308161640092,472.98042932285466,25250300
2026-01-06,477.4203186035156,477.64977534720424,468.68025764779384,472.72102257015473,23037700
2026-01-07,482.3690185546875,488.5848422406915,476.86159994291296,478.6674756822987,25564200
2026-01-08,477.0212097167969,481.5608665012806,474.7763335277468,480.14408679814625,18162600
2026-01-09,478.1885681152344,478.72734693664125,471.1247042989064,472.9804540365218,18491000
2026-01-12,476.09332275390625,479.89464390147504,474.59673866594744,475.5845048686955,23519900
2026-01-13,469.5981750488281,474.6965236309785,464.888922501957,473.5990225282599,28545800
2026-01-14,458.3338928222656,467.13381499707015,456.1289340170423,465.39775666549855,28184300
2026-01-15,455.6200866699219,463.1927988881192,454.8618076165624,463.0630900555096,23225800
2026-01-16,458.8127746582031,462.13520850615447,455.4404972994736,456.78739866953146,34246700
2026-01-20,453.48492431640625,455.7597309230742,448.2568669541529,450.1924514863621,26130000
2026-01-21,443.0986328125,451.65911099901973,437.68100562513575,451.56931960591265,37980500
2026-01-22,450.1126403808594,451.8087507279656,443.6873036586902,446.600636936346,25349400
2026-01-23,464.888916015625,470.0271819611143,449.50401819491054,450.8409629929935,38000200
2026-01-26,469.20904541015625,473.1700058760031,460.94790240319116,464.25036221183507,29291200
2026-01-27,479.485595703125,481.7703893732875,472.0825097961169,472.62128861771004,29213900
2026-01-28,480.533203125,482.63838346935967,476.9114647448887,482.10959164059926,36875400
2026-01-29,432.5128173828125,441.49232224197124,420.06122635013605,438.98802836564175,128855300
2026-01-30,429.31011962890625,438.5989157576861,425.47886802078926,438.1699022937122,58566800
2026-02-02,422.4058837890625,429.7590957240154,421.28843915961005,429.2602343395754,42219900
2026-02-03,410.2735595703125,421.0888704228976,407.6296003977664,421.0489834358989,61424100
2026-02-04,413.2467956542969,418.84400576689177,408.3080557741746,410.0640575889883,45012400
2026-02-05,392.7735290527344,407.37018733348754,391.4265972483441,406.51216038211834,66289200
2026-02-06,400.22650146484375,400.87501513504304,392.0252195920243,398.2609865133262,53515300
2026-02-09,412.65814208984375,413.94521298339265,399.9571203178888,403.9280678877113,45480500
2026-02-10,412.328857421875,422.7151545880433,411.76017861216997,418.66440278178237,44857900
2026-02-11,403.4491271972656,415.51159110220135,400.096793508188,415.2322299614449,42491000
2026-02-12,400.9248962402344,405.2749831551046,397.1036315998776,404.07770370563327,40802400
2026-02-13,400.4060974121094,404.61648859375555,397.1435245648219,403.528974460687,34091600
2026-02-17,395.95623779296875,399.60790672873594,393.6315571718042,398.31087932693146,32078800
2026-02-18,398.69000244140625,401.6432531481791,395.41747315874426,397.2233488345012,23223400
2026-02-19,398.4599914550781,404.42999267578125,396.6700134277344,400.69000244140625,28234000
2026-02-20,397.2300109863281,400.1199951171875,395.1600036621094,396.1099853515625,34015200
2026-02-23,384.4700012207031,395.3599853515625,383.1000061035156,395.0,43238300
2026-02-24,389.0,389.3599853515625,381.7099914550781,384.1400146484375,33884700
2026-02-25,400.6000061035156,401.4700012207031,390.1600036621094,390.5299987792969,43625500
2026-02-26,401.7200012207031,407.489990234375,398.739990234375,404.7099914550781,34405900
2026-02-27,392.739990234375,396.82000732421875,389.8800048828125,390.8800048828125,51367200
2026-03-02,398.54998779296875,401.19000244140625,390.6300048828125,392.8599853515625,35474900
2026-03-03,403.92999267578125,406.70001220703125,392.6700134277344,393.1400146484375,38199200
2026-03-04,405.20001220703125,411.0299987792969,400.30999755859375,401.2699890136719,35808000
2026-03-05,410.67999267578125,411.6099853515625,404.3999938964844,404.4200134277344,39001300
2026-03-06,408.9599914550781,413.04998779296875,408.510009765625,409.20001220703125,31085000
